Job_ID,Agency,Posting_Type,#_Of_Positions,Business_Title,Civil_Service_Title,Level,Job_Category,Full-Time/Part-Time_indicator,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Division/Work_Unit,Preferred_Skills,Hours/Shift,Work_Location_1,Residency_Requirement,Posting_Date,Post_Until,Posting_Updated,Process_Date,salary_from,salary_to,avg_salary,salary_range_diff,posting_year,job_posting_age_days,has_masters_degree
87990,DEPARTMENT OF BUSINESS SERV.,Internal,1,Account Manager,CONTRACT REVIEWER (OFFICE OF L,1,"","",42405,65485,Annual,110 William St. N Y,Strategy & Analytics,"all candidates must have at least one year of experience as described in \"\"1\"\" above.\"","","","","",2011-06-24T00:00:00.000,"",2011-06-24T00:00:00.000,42405.0,65485.0,53945.0,23080.0,"","",0
97899,DEPARTMENT OF BUSINESS SERV.,Internal,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,M3,"",F,60740,162014,Annual,110 William St. N Y,Tech Talent Pipeline,"","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",01/26/2012,"",2012-01-26T00:00:00.000,2019-12-17T00:00:00.000,60740.0,162014.0,111377.0,101274.0,2012,"",0
132292,NYC HOUSING AUTHORITY,External,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,mechanical,"all candidates must have a minimum of two years of experience as described in \"\"1\"\" above.\"","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.","\"Click the \"\"Apply Now\"\" button.\"","","","",NYCHA has no residency requirements.,51907.68,54580.32,53244.0,2672.6399999999994,"","",0
132292,NYC HOUSING AUTHORITY,Internal,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,mechanical,"all candidates must have a minimum of two years of experience as described in \"\"1\"\" above.\"","1.  A High School Diploma or GED.  2.  CDL Driver's License.  3.  Excellent trouble-shooting ability and mechanical aptitude.  4.  Excellent analytical and organizational skills.  5.  Ability to trouble-shoot various types of vacuum heating equipment.  6.  Knowledge of steam and pneumatic heating systems; steam and hot water generating systems; various types of heat, air and water pumps.  7.  Knowledge of Maximo work order system.","\"Click the \"\"Apply Now\"\" button.\"","","","",NYCHA has no residency requirements.,51907.68,54580.32,53244.0,2672.6399999999994,"","",0
133921,NYC HOUSING AUTHORITY,Internal,50,Temporary Painter,PAINTER,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,"","","",NYCHA has no residency requirement.,01/09/2014,"",2014-01-08T00:00:00.000,2019-12-17T00:00:00.000,35.0,35.0,35.0,0.0,2014,"",0
133921,NYC HOUSING AUTHORITY,External,50,Temporary Painter,PAINTER,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,"","","",NYCHA has no residency requirement.,01/09/2014,"",2014-01-08T00:00:00.000,2019-12-17T00:00:00.000,35.0,35.0,35.0,0.0,2014,"",0
137433,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Contract Analyst,PROCUREMENT ANALYST,3,"Finance, Accounting, & Procurement",F,50598,85053,Annual,42-09 28th Street,HIV Administration,individuals must have,at least one year of which must have been supervisory,"or spent performing professional procurement duties equivalent to those performed at Assignment Level III.\"","","","","42-09 28th Street, Long Island City, NY","",50598.0,85053.0,67825.5,34455.0,"","",0
138531,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Chemist,ASSOCIATE CHEMIST,2,"Health Public Safety, Inspections, & Enforcement",F,50623,75083,Annual,96-05 Horace Harding Expway,DWOC Labs-Lefrak,"In order to apply for this position, the candidate must be a permanent Associate Chemist or on an Associate Chemist Civil Service List.    Experience in testing drinking water samples for trace organic contaminants by EPA-approved gas chromatographic methods is preferred: experience in testing environmental water samples for trace organic contaminants by gas chromatographic methods is also acceptable. Strong writing and communication skills are desirable as well as familiarity with computer programs, including Excel and Word.",35 Hours per week/Day shift,96-05 Horace Harding Expway,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",12/20/2013,"",2014-07-25T00:00:00.000,2019-12-17T00:00:00.000,50623.0,75083.0,62853.0,24460.0,2013,"",0
151131,NYC HOUSING AUTHORITY,External,1,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,0,"Engineering, Architecture, & Planning",F,90000,110000,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept,including the 18 months of executive,"as described in \"\"1\"\" above.\"",1.  Five years of managerial and supervisory experience.  2.  Excellent verbal and written communication skills.   3.  Ability to work collaboratively with others.  4.  Ability to perform detailed work under time-sensitive deadlines.,"\"Click the \"\"Apply Now\"\" button.\"","","","",NYCHA has no residency requirements.,90000.0,110000.0,100000.0,20000.0,"","",1
152738,LAW DEPARTMENT,Internal,1,Office Manager,CLERICAL ASSOCIATE,3,Clerical & Administrative Support,F,30683,49707,Annual,"100 Church St., N.Y.",Appeals,Experience with Law Manager and Microsoft Office Applications.,Monday through Friday  9;00 am - 5:00 pm,"","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",06/26/2014,"",2014-06-26T00:00:00.000,2019-12-17T00:00:00.000,30683.0,49707.0,40195.0,19024.0,2014,"",0
160910,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",ADM MANAGER-NON-MGRL FRM M1/M2,0,"Finance, Accounting, & Procurement",F,49492,60000,Annual,75 Park Place New York Ny,Financial Services,18 months of which must have been in an administrative,"full-time progressively responsible experience as described in \"\"1\"\"  above",18 months of which must have been in an administrative,"executive or supervisory capacity. The supervisory work must have been in the  supervision of staff performing clerical/administrative work of more than  moderate difficulty; or  4. Education and/or experience equivalent to \"\"1\"\"","",all  candidates must possess the 18 months of administrative,managerial,"executive or supervisory experience as described in \"\"1\"\"",49492.0,60000.0,54746.0,10508.0,"","",0
